Ann	name given to women
baled	bundled together
baler	one who bales
baling	the action of tying up hay or straw into bales or bundles
ball	Any round or roundish body or mass; a sphere or globe; as, a ball of twine; a ball of snow
balled	animal instincts
ballet	a dance
ballot	a place to record a vote
band	a group, usually musical
banned	No longer welcome or allowed in a given area
bard	musical poet
bare	without covering
barely	almost not enough
barley	a plant whose grain is used in beer
bark	Formerly, any small sailing vessel, as a pinnace, fishing smack, etc.; also, a rowing boat; a barge. Now applied poetically to a sailing vessel or boat of any kind. --Byron.
baron	lowest grade of nobility
barque	A boat or sailing vessel
barred	To fasten with a bar; as, to bar a door or gate
barren	unproductive of results
basal	forming a base
base	the principle constituent
based	a point of attachment
bases	plural of base 
basil	an aromatic herb used in cooking
basis	the facts behind this
bask	to lie in or be exposed to a pleasant warmth, to enjoy a pleasant situation, to expose to warmth or heat
basque	member of a people of the Western Pyrenees
bass	The linden or lime tree, sometimes wrongly called whitewood; also, its bark, which is used for making mats
basses	several bass fish
baste	to brush or otherwise cover with liquid while cooking
bat	a mammal that lives in dark places
bate	To abate or decrease
bated	with bated breath very anxiously
bating	to lessen the force of something
batt	A sheet of matted cotton
baud	data transfer speed
bawd	A prostitute or manager of a brothel.
bawl	to weep or shed tears
bawled	cried loudly
bay	an indentation in the ocean, smaller than a gulf
bays	A body of water in a lake or ocean surrounded mostly by land.
bazaar	a market
be	to be alive
beach	The shore of the sea, or of a lake, which is washed by the waves; especially, a sandy or pebbly shore; the strand
bean	an edible item from the legume family
bear	to carry, produce, or have
beat	to strike
beau	a boyfriend or male suitor
beaut	American slang for beauty, beautiful
bee	honey maker
beech	Tall deciduous tree up to 40 m in height with a straight, clean trunk,having a smooth gray bark and bearing small, edible, triangular nuts.
been	to have existed
beer	An alcoholic beverage brewed from cereal grains.
beet	edible vegetable that is a red root
bel	a unit of power (10 decibels)
bell	signal
belle	a beauty
berry	small fruit without seeds
berth	Sleeping place on a vessel; space allotted to a vessel at anchor; place, listing, or role.
besot	to intoxicate someone with alcohol
besought	to have asked for
better	improved upon
bettor	one who bets
bey	a title of respect for Turkish official
beys	A provincial governor in the Ottoman Empire
bier	stand on for a coffin
bight	center of a piece of rope
billed	contains a bill or bills
bin	A box or container, usually with a lid.
birth	Method of offspring production in mammals.
bit	to chew or gnaw in the past tense
bite	what puppies do to shoes and hands
bitt	used in the tying down of vessels
bizarre	strange
blew	missed an opportunity
bloc	group of persons
block	To prevent someone from passing through
blue	a primary color
boar	forest sow
board	a beam
boarder	a member of a boarding party
bode	to be an omen
bold	daring, courageous
bolder	more brave
bole	trunk of a tree
boll	round seed vessel in center of certain plants like cotton
bond	an IOU
bonds	IOUs
boor	a rude person
boos	Disapproving jeers from an audience
booze	alcoholic drink
border	line of demarcation
bore	dull person; or to be tedious
bored	grow tired of something
born	conceived and birthed, given life
borne	to hold up
borough	A area of the city that is considered unicorperated i.e. various boroughs in New York City
bough	pine branch
boulder	huge stone
bound	a limit
bounds	limits
bourn	a small boundary creek
bouy	a float used for boats' navigation
bow	incline the head or body, esp. in greeting or acknowledgement.
bowed	arched
bowl	basin
bowled	pushed over, toppled
boy	young man
bra	a type of woman's underwear
braid	a weaving of multiple strands together
braise	to cook with moisture
brake	Device in different sorts of machines with function to stop some process.
brakes	devices that stop a car
braw	dressed well
brayed	a donkey howled
brays	donkey talk
breach	a break
bread	a common food item made from flour or meal, usually combined with yeast and baked in a loaf
break	shatter
breaks	shatters into pieces easily
bred	having mated
breath	the air you inhale and exhale
breathe the act of consuming air to survive
breech	the lower part of anything
brewed	to make or prepare
brews	makes a drink, often alcoholic but also tea or coffee
bridal	for or relating to a bride or wedding
bridle	equid's vesture
broach	to bring up a topic of conversation
broad	wide
brooch	A lady's large decorative pin or clasp.
brood	large amount of children born at one time
brows	hair on top of eyes
browse	peruse or scan material
bruise	discolouration of the skin caused esp. by a blow
build	to develop
bullet	ammunition
bundt	Roasted Bread
bunt	(in baseball) to bat a pitched ball by tapping it lightly so that it rolls slowly into the infield
burger	meat patty
burgher	a citizen of town
burrow	a small rodent home
bury	to put into the ground; to hide from view underneath another object
bus	long vehicle for many passangers
buss	to show affection through contact of the lips
bussed	touched by lips
bust	a human head and shoulders depicted in clay or other material
but	instead of
butt	the thicker, larger or blunt end of something considered to be the bottom or base of it
butte	Isolated small flat topped with steep sides
buy	to get something in exchange of money
buyer	purchaser
by	located next to something
bye	In various sports in which the contestants are drawn in pairs, the position or turn of one left with no opponent in consequence of an odd number being engaged; as, to draw a bye in a round of a tennis tournament.
byre	A barn for keeping cattle.
byte	A unit of memory or data equal to the amount used to represent one character; on modern architectures this is usually 8 bits
cache	supply that is hidden
cached	A hidden collection.
calendar	chart  that is marked with days, dates, months in a year.
calender	a machine that smooths cloth or paper
call	to cry out; to invite to come
caller	Person who is calling.
can't	not able to
cannon	a huge artillery
canon	basic rule or principle
cant	an angle
canter	rapid horse's gait
cantor	a person who leads the choral segment of a church service
canvas	a type of fabric used especially for painting
canvass	To inspect completely
capital	an accumulated stock of wealth
capitol	government building
carat	gem weight
caret	proofreader's insertion mark. also used for exponents in math
carol	hymn or song that is sung during Christmas time
carpal	a bone located on the hand
carpel	female reproductive organ of a flower.
career	your job record
carrel	A small enclosure for individual study in a public area.
carrier	someone who carries something (e.g., an aircraft carrier)
carrot	edible parsley family plant
cash	money
cashed	converted to a ready money
cast	to heave an object
caste	a social grouping
caster	a small wheel
castor	part of beaver's anatomy
caul	Amnionic membrane; a net cap or lining.
cause	the reason or motive for some human action
caws	a crow's call
cay	a sandy small island forme on coral
cease	to stop. For example, cease to live.
cedar	a type of evergreen tree
cede	formal give up one's rights to or possession of.
ceding	to yield or surrender
ceiling	top of a room
celibate	to abstain from sex
celebrate	to commemorate an event with a party	
cell	small chamber
cellar	Basement of the house, room or set of rooms under a house, usually for storing food, wines, fuel etc.
censer	vessel for burning incense
censor	to shut up
census	to count
cent	a bronze US coin
cents	money
cere	base covering at the base of the birds nostrils
cereal	a grain product
cession	to surrender
chalk	teachers writing implement
chance	oppurtunity
chants	multiple stated phrases
chard	a green leafy vegetable
charred	to become scorched
chased	To be pursued quickly
chaste	celibate
check	an ok mark
chews	mashes up, usually between teeth or jaws
chili	usually a hot pepper
chilly	uncomfortably chilly
chock	solid piece of matter used to steady things
choir	religious music group
choler	discharge as result of disease
choose	Select from a number of possibilities.
choral	Of (music sung by) a choir or a chorus. e.g. a choral society
chorale	of music or choir
chord	musical note
chose	paste tense of choose, as in "He chose to run away"
chute	a fall
cite	to quote an authority
cited	to quote
cites	past
clack	a rattle or bang, often used to describe the sound of a train on a track
clamber	to climb with a lot of effort
clamor	to loudy demand
claque	A collection of persons employed to applaud at a theatrical exhibition
clause	a part of a contract or legal agreement
claws	a long, curved toenail of an animal
clench	hold firmly
clinch	to close the deal
clew	the lower corner of a sail
click	sharp sound
climb	scale
clime	weather conditions
clique	a group of people who are friends
close	Be near to something or somone. To shut (usually a opening).
clothes	items that you wear
clue	A sign or some information which helps you to find the answer to a problem, question or mystery.
coal	Compressed form of carbon witch is cumbustible
coaled	provided coal
coarse	rough, not smooth, characterized by abrasive particles
coat	a warm outer garment; fur on an animal
coax	to convince or persuade, sometimes in a sly manner
cocks	faucet consisting of a rotating device for regulating flow of a liquid
coddling	gently handling
codling	Represents small, unripe apple used mainly for cooking.
coffer	a treasury; savings
coin	money made from metal
cokes	The plural form of coke which can refer to the soft drink by that name or a form of coal used for industrial fuel.
col	depression in a chain of mountains.
cold	chilly
cole	mustard family
collage	a collection of unlikely things (for art)
college	a higher-learning institution
Collage	a collection of unlikely things (for art)
College	a higher-learning institution
collar	part of a shirt that covers the neckline
colonel	A senior field grade military officer rank
coma		a long and deep sleep
comma		a punctuation mark
complacence	serenity
complacent	content, undisturbed
complaisance	willingness to do what pleases others
complaisant	to close one's eyes like a complaisant husband
complement	an addition to something which completes what it is lacking
compliment	praise
conch	marine mollusk with a shell spiral in shape.
conk	A blow on the head; to fail, stop, or sleep (followed by "out").
conscious	awake, aware
conscience	the little voice in your head
coo	a sound that a baby makes
copes	has control of a situation
copped	stolen
cops	Officers of the law, persons who seek to maintain behaviour specified by law.
copse	a thicket
copt	an Egyptian descended from the ancient Egyptians
coral	skeleton of marine life
cord	a braided or woven rope
core	the center of something
cored	The hard or fibrous central part of certain fruits, such as the apple or pear, containing the seed
corps	A group of people as in "The Army corps"
corral	cattle pen
cosign	To sign some kind of document in addition to other person or persons.
cosine	mathematical function
cote	small shed for sheep
cougher	an individual with a cough
council	a group of advisory or leading members of a group
counsel	one who shows the way
coup	a triumph
courier	someone who delivers something
course	itinerary; lesson
cox	a steersman
craft	a ship or other vessel
crater	cup-shaped depression
craze	a fad
creak	a grating or squeaking sound
creek	small streaming body of water
crewed	group of people in a ship or aircraft
crewel	decorative material
crews	a people manning a ship, aircraft, train, etc
crude	unrefined
cruel	Someone that is merciless, causing pain to others.
cruise	A slow  vacation taken on a boat
cue	a signal or hint usually given to remind a performer on stage
currant	a tiny berry
current	happening now; also, electrical energy; also, movement of water
curser	one who uses inappropriate language
cursor	On-screen positional indicator used in Hi-Tech devices like computers, cell-phones.
cygnet	a swan before adult age
cymbal	Percussive concave brass plate instrument played with a drumstick or in a pair.
Cypress	an evergreen tree
Cyprus	an island South of Turkey
dairy	comes from cows
dam	a barrier that blocks the flow of water
dammed	a blocked flow of any liquid
damn	to curse, a curse
damned	condemned
darn	to sew by hand
darne	a thick cut of fish
days	years
daze	To stun temporarily
dear	darling
deducible	you can follow logic to arrive at the same conclusion
deductible	an amount you remove from the total (e.g., a tax deduction)
deer	an animal found in the forest; the males have long slender branched antlers
defuse	the act of making something harmless
defused	made harmless
desert	an arid region, picture cacti and sand
dessert	something delicious, think cake
deviate	to move away from normal
deviant	someone that ignores the rules
device	a machine
devise	scheme
dew	moistness
diary	where you keep your secrets about cows
die	to be gone forever
died	cease to live or function
dies	A verb meaning to expire.
diffuse	to spread out widely	
diffused	to spread out in a wider area
dine	to eat dinner
dire	little hope is available
disc	a record
discreet	secretive, quiet
discrete	individually distinct
discussed	The past form for discuss which means to talk about.
disgust	strong feelings of dislike
disk	a flat round item
disburse	make a payment
disperse	scatter
do	to act
doc	short for document
dock	a structure where access to a boat is gained
doe	female of the deer
does	a group of female deer
done	completed or finished
dos	disk operating system
dough	an uncooked mixture of flour, water and other ingredients used to make baked goods
doughs	soft pastries intended to make bread, uncooked
dose	one unit of medicine.
doze	to sleep, to slumber
draft	First written version of some document.
draught	a flow of wind in an upward motion
drier	a machine that dries
dryer	less wet
dual	two items together
due	amount of money owed currently on a bill
duel	a challenge usually involving honor
dues	monies due for being a member
dun	plague or pester for payments
dye	an ink or substance used to change the color of something
dyed	colored
dyeing	to color a fabric
dyer	a person who dye.
dyes	applies a color to, or, the colors available to apply to cloth or fabric
dying	the opposite of living
dyne	unit of force
e'er	Contraction of ever
earl	honorary rank of nobility
earn	to gain a compensation for one's labor or service
economic	of the production, distribution, and consumption of goods
economical	thrifty, wastes little
effect	an end result or consequence
eh	a questioning sound or utterance of disinterest
eight	numeral between seven and nine
elicit	to evoke
elude	to run away from
eluded	ran away from
em	the letter M, with a munchy mouth
eminent	high in rank, lofty
eminently notable, a great degree
ensure	to guarantee
ensured	to have guaranteed
envelop	to cover
envelope	used to mail a letter
epic	an adventure
epoch	era of time
ere	before
err	to mess up
essay	a short focused document
eunuchs	a man not considered a 'real man'
evaporate	to change from liquid to a gas
evacuate	get everyone out
ewe	the female counterpart of a sheep
ewes	plural of ewe, the word for a female sheep or related animal
exact	precise
expend	to use
expand	to grow
extract	get
exceed	go beyond
except	to leave out
extent	a range of something
extant	continues to exist
eye	body part
eyelet	small enclosed circle to hold laces in place
facts	things known to be true
fain	gladly
faint	lose consciousness
fair	unbiased
faired	to join into something smooth
fairing	cleansing
fairy	A creature out of folklore that has magical powers. It is usually a tiny human with wings, and often it will interefere in human life. It is also derogatory slang for a male homosexual
faker	faux
fakir	Hindu monk or religious ascetic
fare	a price given to a person who hires a public vehicle to travel
fared	to experience something
faring	Art of progress
farrow	To give birth to (a litter of pigs)
fathom	to understand
faux	not genuine or real; being an imitation of the genuine article; "it isn't fake anything
fax	A transmitted facsimile
fay	A fairy or an elf
fays	Middle English for fairy
faze	To surprise and worry someone.
fazed	(often as fazed adj.) colloq. disconcert, disorientate
feat	an accomplishment,neat,suitable
feel	to sense something by touch
feet	bi-pedal extremities
feign	pretend, act as if
feint	an action to fake out an opponent
fell	dropped
ferrate	a compund of hydrogen, oxygen, and iron
ferret	a small polecat pet
ferry	A place where persons or things are carried across a river, arm of the sea, etc., in a ferryboat.
feted	partied
fetid	rotten
few	Not many; small, limited, or confined in number; -- indicating a small portion of units or individuals constituing a whole; often, by ellipsis of a noun, a few people. ``Are not my days few?'' --Job x. 20
fewer	a smaller quantity, use with things you can count
fey	not of this world
file	to put away papers
fills	Plural form of the word 'fill'.
fils	iraqi money
filter	keep unwanted things from coming through
find	discover
fine	a monetary punishment
fined	having to pay a monetary punishment
fines	several monetary punishments
finish	To complete something like project, task etc.
fir	a pine tree with flat needles and upright cones
fiscal	of financial matters
fisher	A carnivorous mammal (Martes pennanti) of northern North America, having thick, dark-brown fur. Also called pekan, wejack
fissure	a split or division
fission	the process of splitting an atom
flair	a talent
flare	roadside emergency light
flea	small wingless bloodsucking insects that feed on other animals
flecks	tiny spots
flee	to scatter hurriedly, sometimes in fear
flew	to travel through the air
flex	to curl
flocks	several groups of birds
floe	sheet of floating ice smaller than an icefield
floes	floating ice sheets
floor	the lower enclosing surface of a room; this is walked on
flour	bread ingredient
flow	circulation
flower	the blossom of a plant
flows	movement.
flu	abbreviation of influenza
flue	fireplace vent
fluor	group of minerals belonging used as fluxes. Example -  Flourite
foe	nemesis
for	instead of
fore	not behind
forego	to come before
foreword	early section in book, usually describing the backstory of creating the story
forgo	The act of giving up something
form	shape
formally	in a customary way
formerly	before
fort	a permanent post
forte	a person's strength or special ability
forth	bring out in the open in a certain way
forward	onward, not backward
foul	inappropriate
four	whole number in sequence between three and five
fourth	preceding the fifth
fowl	a domesticated bird used for eating
frays	multiple battles or skirmishes
frees	lets one out of bondage
freeze	unable to move or or to stop moving due to ice or severe cold
friar	A Roman Catholic monk
frieze	Decoration along the top of a wall
fro	backwards, as in to and fro
from	the starting point of something
fryer	a chick
fur	the thick hairy coat of an animal's skin
furr	brace apart using wood
fusion	the process of joining nuclei into a more massive nucleus
gaff	a hook
gaffe	an embarrassing social mistake
gaffs	hooks
gaffes	embarrassing social mistakes
gage	give something as a promise
gait	a stride
gaited	the walking pattern of a horse
galley	a kitchen or an area with kitchen facilities in a ship, plane, or camper
gallop	to run quickly, usually used to refer to a horse
gally	to scare or frighten someone
galop	a lively dance that was common during the 19th century
gate	a moveable door, typically on hinges, allowing entry through a fence or other enclosure
gated	blocked by a barrier that opens and closes
gauge	Type of instrument for measuring different processes.
gays	a lively, festive group
gaze	a resigned look
gene	is the physical unit of hereditary, passed fromn parent to child
gild	to give a bright, or specious aspect to, to coat with gold, gold leaf
gilled	fishlike
gilt	thinly covered in gold, or the thin covering of gold
gin	a beverage of alcoholic nature
gnawed	eaten
gneiss	a metamorphic rock of feldspar, quartz and mica that is usually of larger micron size
gnu	Stocky, oxlike African antelope.
gnus	a group of stocky antelope, native to Africa
gored	To pierce or wound, as with a horn; to penetrate with a pointed instrument, as a spear; to stab
gorilla	large ape with brown or black hair. Slang for a brutish man.
gouge	take unfair advantage of
gourd	a vegetable
grade	the incline of a road or hill
graft	to affix a small piece to a larger object
graphed	denoting a person concerned with a subject
grate	A fireplace or A framework of metal bars used to hold fuel or food in a stove
grayed	to make gray
grays	of a colour intermediate between black and white. 2 dull, dismal. 3 a (of hair) turning white with age etc
graze	browse
grease	A thick oil or viscous substance
great	better than good
greave	protection for the legs
greaves	armor worn on the lower part of the legs
grieve	to feel deep sorrow or suffering, often alone or in silence
grieves	great sorrow
grill	to cook on a fire
grille	an ornamental section made of iron on a door or other object
groan	A sound usually uttered to express distress.
grown	to age
guerrilla	member of a small independently acting (usu. political) group taking part in irregular fighting.
guessed	having already formed an opinion
guest	a person worthy of hospitality
guide	someone who guides,  a mark, tab, to catch the eye and thus provide quick reference.
guild	a group of similarly skilled people
guilt	The criminality and consequent exposure to punishment resulting from willful disobedience of law, or from morally wrong action; the state of one who has broken a moral or political law; crime; criminality; offense against right.
guise	the physical appearance of a thing or person
gunnel	side rails of boat or canoe
gunwale	the upper edge on the side of a ship
guyed	To steady, guide, or secure with a rope, cord, or cable
guys	men
gym	indoor place for exercise
hail	Small roundish masses of ice precipitated from the clouds, where they are formed by the congelation of vapor. The separate masses or grains are called hailstones.
hair	fine filament that grows on body parts and head
hairy	hirsute; covered in hair
hale	healthy
half	one of two equal parts
hall	a meeting room
halve	to split in two parts
halves	more than one half
hammock	a hanging rope or canvas bed
hangar	building for sheltering airplanes or other large vehicles
hanger	an object from which things hang
hare	swift long-eared mammal
harry	to annoy
hart	a type of stag
haul	To transport, usually by pulling or drawing with force.
haut	high fashion; leading fashion houses or their products.
have	To possess or control.
haves	ones who are in posession of
hay	grass intended as feed
hays	multiple hay bails.
haze	atmospheric of very fine, widely dispersed, solid or liquid particles
he'd	contraction of two words he had.
he'll	short for he will
heal	make well
hear	auditory sense
heard	to percieve by ear
heart	courage
heed	to pay careful attention
heel	hind part of foot or boorish person
heigh	an interjection used to call attention or give encouragement
heir	person chosen to inherit
herald	a person who plays a horn like instrument
herd	a group of animals of a species (usually under human control)
here	at a certain place
heroin	an addictive narcotic that is derived from morphine
heroine	female heroic figure
hew	to cut
hey	a yell
hi	greeting
hide	the pelt of an animal
hie	to go rapidly
hied	rushed
high	a long distance from the ground or floor
higher	more elevated
hill	a small mountain or mound of earth
him	pronoun describing a male
hire	to give a job to someone or to temporarily rent a home or piece of equipment
ho	exhortation to move forward
hoar	A light feathery frost usually formed by wind
hoard	to hide a large sum of something
hoarse	rough low sounds.
hoe	to cultivate
hoes	multiple garden tools or the act of using a garden tool to weed
hold	to support
hole	in the ground
holed	having many holes
holey	full of holes
holy	sacred
horde	a crowd
horse	a member of the equine family
hose	item used when wearing heals
hostel	cheap lodging used by students who are travelling
hostile	a person or thing that is angry, purposely mean, and hateful
hour	In modern usage, an hour is a unit of time 60 minutes, or 3,600 seconds in length. It is approximately 1/24 of a median Earth day.
hours	Plural of hour, which means a period of 60 minutes
hue	variant of a color
humerus	Bone in the upper arm of humans extending from the shoulder to the elbow.
hummock	an elevated area of land rising above a marsh or swamp
humorous	causing laughter or amusement
hymn	gospel song
hypercritical	overly critical
hypocritical	says one thing and does another
idle	inactive
idol	statue used for worshipping
idyl	a poem
illicit	Not permitted or allowed; prohibited; unlawful; as, illicit trade; illicit intercourse; illicit pleasure.
illude	to trick
illusion	a false appearance or trick
illusions	false appearances or tricks
improve	to make better
improvise	come up with on the fly
in	a part of
inc	the abbreviation used for incorporated
incite	to lead to action
incites	to lead to action
ink	liquid used for writing
inn	a commercial establishment that provides lodging, food, etc., for the public, esp. travelers (a small hotel).
imminent	could occur at any moment
imminently	in a quick manner
innocence	the absence of guilt, not guilty
innocents	persons free of guilt
inns	lodging
ins	being connected with those in the know
insights	wisdom about a situation
insight	ability to see into something
insure	to buy insurance
insured	to have bought insurance for
isle	a small island
islet	very small island
interred	to bury
interned	to confine or hold prisoner
it's	Short form of it is. e.g. It's my turn to do it.
its	used for possession of an item
jam	squish
jamb	door frame; a piece of a suit of armour
jean	denim trousers. [earlier geane fustian
jewel	polished stone
jinn	a class of sprits lower than angels
joule	energy measurement unit
juggler	Someone who uses tricks, deception, or fraud,deceives people by tricking them.
jugular	large veins found in the throat and head
karat	a measurement for gold or precious gems
kernel	whole seed grain
key	things that open locks
knap	to strike sharply
knead	The process of pressing the mass
knew	past tense of know
knickers	Trousers ending above the knee
knight	brave fighter
knit	to make by interlocking loops of wool by hand with needles
knits	verb of Knits
knob	bulbus end
knock	to bang or pound
knot	a bond or tie
know	to be able to understand
knows	has knowledge of something
kraft	Robust or strong paper made of wood pulp
krater	an ancient Greek piece of pottery
lacks	is missing (something)
lain	Past participle of lie
lam	slang thrash; hit
lamb	a little sheep
lane	a narrow, lightly travelled road
ladder	a tool or structure to go up on
laps	some number of complete circuits of a track or pool
lapse	a trvial slip or error
later	in the future
latter	the second of two things
lax	not strict or tight
lay	to lie down
lays	to rest in a horizontal position
laze	to idle or be lazy
lea	a grassy pasture
leach	to percolate to remove substances
lead	Soft malleable metal
leak	a breakage causing fluid to ooze out
lean	to bend at an incline
leas	a crop of hay
leased	to rent
least	the smallest in quantity
led	guided
lee	out of scent path
leech	bloodsucking worm
leek	a long vegetable similar in taste to an onion
lees	shelter
lei	circle of flowers usually worn around the neck
leis	multiple necklaces made from flower petals
lends	allows someone borrow money or something, to adapt itself) to something, to make a loan.
lens	a curved, bowl-shaped transparent item
less	a smaller quantity, use with things you can't count
lessen	to make less of
lesson	experience that serves to warn or encourage (let that be a lesson)
levy	to collect money that is due
levee	used to hold back a flood
let's	contraction of "let" and "us"
lets	to do something
li	a Chinese distance, equal to 1/3 of a mile
liable	responsible, in a position to incur, obligated according to law
liar	someone who says things which are not true
libel	a statement to make someone look bad
lichen	a fungus which supports and is supported by another organism, such as a tree
lie	tell an untruth
lien	the right to retain possession of property
lieu	in place of
lightening	A flash of light or to make lighter as in less weight.
lightning	discharge of static electricity during a thunderstorm
liken	Used when comparing two or more individuals.
limb	part of the body such as a arm or leg.
limbs	appendage; branch of a tree
limn	boundaries
limns	describes in clear, sharp detail
links	connected pieces
literal	verbatim
littoral	an area near an ocean or lake's shore
lo	lo and behold joc. formula introducing mention of a surprising fact
load	items carried
loads	to place something into a container for transportation
loan	To give money or other property that is expected to be returned often with interest.
loath	unwilling
loathe	to hate intensely
loch	Scottish lake
lochs	plural of loch, Scottich word for lake, usually referring to long, narrow lakes
lock	to secure something
locks	objects that are used to close securely
lode	A vein of ore between clearly separated layers of rock
lodes	Veins of ore between clearly separated layers of rock
lone	standing by yourself
loo	a slang word for toilet, mostly used in the UK
loon	a bird who lives in water
loop	a curve pattern that meets itself again in a circle
loos	multiple toilets, in Britain
loose	free, uncombined, not strict, not bound, not firm
loosing	to cast loose or discard
loot	reaped rewards
lose	to be defeated
losing	being defeated
loupe	A Loupe is a specialized form of magnifying glass used by jewelers and watch-makers. They are very small and meant to fit in the eye or on glasses.
low	below high
lowed	made a sound like a cow "mooooo"
lox	salmon that has been cured with salt over time
lumbar	the lower part of the back
lumber	another name for wood that is usually cut and saved for building
lune	half moon or crescent shaped
lute	instrument similar to a guitar
lye	an ingredient in soap
lynx	a small wild cat
lyre	device for playing music
mach	speed of an object relative to the speed of sound
made	finished
maid	a young proper female
mail	correspondence
main	principal object
maize	another name for Indian corn, a tall cereal plant
male	masculine
mall	shopping center
manager	a supervisor
mane	long coarse hair growing from the crest of the animal's neck
manger	a trough for animal feed
manner	A method of doing, being done, or happening.
manor	A feudal estate; the main mansion or house of an estate.
mantel	the shelf above the fireplace
mantle	the layer between the core of the earth and its crust
marc	the brandy distilled from this residue
marital	of marriage
mark	a visible trace of something
marque	a product model or type
marquee	a small cover in front of building or theatre
marquis	a noble male title, ranking between a duke and a count in France and a duke and an earl in Great Britain
married	a union between two people
marry	to join with your life partner
marshal	to bring together
martial	Inclined, disposed to, suitable for, or characteristic of, war.
massage	to rub and squeeze
massed	grouped
mast	boat pole
maul	chew up
maze	puzzle
me	Refers to the first person.  Used in a sentence as the object.
mean	the average of a group of numbers
meat	the (usually) edible portion of an animal
medal	piece of metal given to someone as a reward for an accomplishment
median	the divider in the middle of the road
meddle	to get involved
medium	the middle; between large and small
meet	to join together or connect in a common location
mein	How someone acts.
men's	belong to males
mends	to fix
merry	happy, pleased, expressing and evincing enjoyment with conditions
message	something communicated
metal	ore
mete	literary apportion or allot (punishment or reward)
mettle	courage
